participant,date,overall_time,trial_count,click_order,prompt_rt_sec,selection_rt_ms,pressed_object,line_width,top_x,top_y,bottom_x,bottom_y,line_id,line_orientation,selected_or_released,accuracy,possible_thinnest_lines,is_practice,is_anomaly_trial,anomaly_mid_x,anomaly_mid_y,anomaly_line_id,anomaly_group
59,2021_Oct_29_1030,0 days 00:12:03.945955000,16,2,26.727560799999992,1616.262,line,1.6667,-302.2982835368126,90.32665789452227,-204.5965670736252,20.653315789044555,r1c0_bottom_left,back_slash,selected,,3,False,False,,,,
59,2021_Oct_29_1030,0 days 00:12:05.480610000,16,3,26.727560799999992,3150.917,line,1.3333,283.91201524231184,90.32665789452227,186.21029877912443,20.653315789044555,r1c2_bottom_right,forward_slash,selected,,3,False,False,,,,
59,2021_Oct_29_1030,0 days 00:12:06.517590000,16,4,26.727560799999992,4187.897,submit,,,,,,,,,0.6666666666666666,3,False,False,,,,
59,2021_Oct_29_1030,0 days 00:12:31.939784000,17,1,23.61631109999962,879.456,line,1.0,88.50858231593702,90.32665789452227,186.21029877912443,20.653315789044555,r1c2_bottom_left,back_slash,selected,,4,False,False,,,,
59,2021_Oct_29_1030,0 days 00:12:33.175947000,17,2,23.61631109999962,2115.619,line,1.3333,283.91201524231184,90.32665789452227,186.21029877912443,20.653315789044555,r1c2_bottom_right,forward_slash,selected,,4,False,False,,,,
59,2021_Oct_29_1030,0 days 00:12:33.876566000,17,3,23.61631109999962,2816.2380000000003,line,1.3333,186.21029877912443,20.653315789044555,186.21029877912443,-99.34668421095544,r2c2_right,vertical,selected,,4,False,False,,,,
59,2021_Oct_29_1030,0 days 00:12:34.629210000,17,4,23.61631109999962,3568.882,submit,,,,,,,,,1.0,4,False,False,,,,
59,2021_Oct_29_1030,0 days 00:12:48.524761000,18,1,11.430660199999693,649.067,line,1.0,186.21029877912443,-99.34668421095544,283.91201524231184,-169.02002631643316,r2c3_bottom_left,back_slash,selected,,4,False,True,39.657724084343315,55.48998684178341,r1c1_bottom_right,0
59,2021_Oct_29_1030,0 days 00:12:49.624591000,18,2,11.430660199999693,1748.897,line,1.0,186.21029877912443,280.0,88.50858231593702,210.32665789452227,r0c2_bottom_right,forward_slash,selected,,4,False,True,39.657724084343315,55.48998684178341,r1c1_bottom_right,0
59,2021_Oct_29_1030,0 days 00:12:50.458076000,18,3,11.430660199999693,2582.382,line,1.0,186.21029877912443,400.0,186.21029877912443,280.0,r0c2_right,vertical,selected,,4,False,True,39.657724084343315,55.48998684178341,r1c1_bottom_right,0
59,2021_Oct_29_1030,0 days 00:12:51.645252000,18,4,11.430660199999693,3769.558,submit,,,,,,,,,1.0,4,False,True,39.657724084343315,55.48998684178341,r1c1_bottom_right,0
59,2021_Oct_29_1030,0 days 00:13:07.143207000,19,1,13.11348149999958,1316.4850000000001,line,1.3333,186.21029877912443,-99.34668421095544,88.50858231593702,-169.02002631643316,r2c2_bottom_right,forward_slash,selected,,5,False,False,,,,
59,2021_Oct_29_1030,0 days 00:13:09.981397000,19,2,13.11348149999958,4154.675,line,1.6667,-106.8948506104378,90.32665789452227,-9.19313414725039,20.653315789044555,r1c1_bottom_left,back_slash,selected,,5,False,False,,,,
59,2021_Oct_29_1030,0 days 00:13:15.784863000,19,3,13.11348149999958,9958.141,line,1.6667,-106.8948506104378,90.32665789452227,-204.5965670736252,20.653315789044555,r1c0_bottom_right,forward_slash,selected,,5,False,False,,,,
59,2021_Oct_29_1030,0 days 00:13:16.606770000,19,4,13.11348149999958,10780.048,submit,,,,,,,,,1.0,5,False,False,,,,
59,2021_Oct_29_1030,0 days 00:13:34.204232000,20,1,15.549396000000343,397.578,line,1.0,88.50858231593702,90.32665789452227,186.21029877912443,20.653315789044555,r1c2_bottom_left,back_slash,selected,,4,False,False,,,,
59,2021_Oct_29_1030,0 days 00:13:35.104557000,20,2,15.549396000000343,1297.903,line,1.0,-106.8948506104378,210.32665789452227,-106.8948506104378,90.32665789452227,r1c0_right,vertical,selected,,4,False,False,,,,
59,2021_Oct_29_1030,0 days 00:13:35.637504000,20,3,15.549396000000343,1830.85,line,1.6667,-204.5965670736252,280.0,-106.8948506104378,210.32665789452227,r0c1_bottom_left,back_slash,selected,,4,False,False,,,,
59,2021_Oct_29_1030,0 days 00:13:36.907970000,20,4,15.549396000000343,3101.316,submit,,,,,,,,,1.0,4,False,False,,,,
59,2021_Oct_29_1030,0 days 00:14:01.997590000,21,1,22.644901599999685,613.796,line,1.3333,186.21029877912443,280.0,283.91201524231184,210.32665789452227,r0c3_bottom_left,back_slash,selected,,5,False,False,,,,
59,2021_Oct_29_1030,0 days 00:14:03.131566000,21,2,22.644901599999685,1747.772,line,1.6667,88.50858231593702,90.32665789452227,186.21029877912443,20.653315789044555,r1c2_bottom_left,back_slash,selected,,5,False,False,,,,
59,2021_Oct_29_1030,0 days 00:14:04.666974000,21,3,22.644901599999685,3283.18,line,1.6667,-204.5965670736252,-99.34668421095544,-302.2982835368126,-169.02002631643316,r2c0_bottom_right,forward_slash,selected,,5,False,False,,,,
59,2021_Oct_29_1030,0 days 00:14:06.186542000,21,4,22.644901599999685,4802.748,submit,,,,,,,,,1.0,5,False,False,,,,
59,2021_Oct_29_1030,0 days 00:14:25.070176000,22,1,17.1164547999997,479.684,line,1.3333,186.21029877912443,280.0,283.91201524231184,210.32665789452227,r0c3_bottom_left,back_slash,selected,,7,False,False,,,,
59,2021_Oct_29_1030,0 days 00:14:37.383641000,22,2,17.1164547999997,12792.159,line,2.0,-204.5965670736252,280.0,-302.2982835368126,210.32665789452227,r0c0_bottom_right,forward_slash,selected,,7,False,False,,,,
59,2021_Oct_29_1030,0 days 00:14:49.062468000,22,3,17.1164547999997,24471.976,line,2.0,381.6137317054993,-99.34668421095544,283.91201524231184,-169.02002631643316,r2c3_bottom_right,forward_slash,selected,,7,False,False,,,,
59,2021_Oct_29_1030,0 days 00:14:55.084738000,22,4,17.1164547999997,30494.246,line,2.0,381.6137317054993,-99.34668421095544,283.91201524231184,-169.02002631643316,r2c3_bottom_right,forward_slash,released,,7,False,False,,,,
59,2021_Oct_29_1030,0 days 00:14:56.151789000,22,5,17.1164547999997,31561.297,line,1.3333,283.91201524231184,210.32665789452227,283.91201524231184,90.32665789452227,r1c2_right,vertical,selected,,7,False,False,,,,
59,2021_Oct_29_1030,0 days 00:14:56.820709000,22,6,17.1164547999997,32230.217,submit,,,,,,,,,1.0,7,False,False,,,,
59,2021_Oct_29_1030,0 days 00:15:15.004500000,23,1,15.606556599999749,814.952,line,1.3333,-9.19313414725039,-99.34668421095544,-106.8948506104378,-169.02002631643316,r2c1_bottom_right,forward_slash,selected,,5,False,False,,,,
59,2021_Oct_29_1030,0 days 00:15:16.204743000,23,2,15.606556599999749,2015.195,line,1.6667,186.21029877912443,400.0,186.21029877912443,280.0,r0c2_right,vertical,selected,,5,False,False,,,,
59,2021_Oct_29_1030,0 days 00:15:17.840247000,23,3,15.606556599999749,3650.699,line,2.0,-9.19313414725039,280.0,-106.8948506104378,210.32665789452227,r0c1_bottom_right,forward_slash,selected,,5,False,False,,,,
59,2021_Oct_29_1030,0 days 00:15:20.862394000,23,4,15.606556599999749,6672.846,submit,,,,,,,,,1.0,5,False,False,,,,
59,2021_Oct_29_1030,0 days 00:15:42.365136000,24,1,19.85223429999951,448.827,line,1.0,88.50858231593702,-169.02002631643313,88.50858231593702,-289.02002631643313,r3c1_right,vertical,selected,,3,False,True,137.3594405475307,245.16332894726114,r0c2_bottom_right,2
59,2021_Oct_29_1030,0 days 00:15:42.932279000,24,2,19.85223429999951,1015.97,line,1.3333,186.21029877912443,20.653315789044555,186.21029877912443,-99.34668421095544,r2c2_right,vertical,selected,,3,False,True,137.3594405475307,245.16332894726114,r0c2_bottom_right,2
59,2021_Oct_29_1030,0 days 00:15:44.199419000,24,3,19.85223429999951,2283.11,line,1.3333,283.91201524231184,90.32665789452227,381.6137317054993,20.653315789044555,r1c3_bottom_left,back_slash,selected,,3,False,True,137.3594405475307,245.16332894726114,r0c2_bottom_right,2
59,2021_Oct_29_1030,0 days 00:15:45.369232000,24,4,19.85223429999951,3452.923,submit,,,,,,,,,1.0,3,False,True,137.3594405475307,245.16332894726114,r0c2_bottom_right,2
59,2021_Oct_29_1030,0 days 00:16:14.879879000,25,1,27.51033819999975,547.731,line,1.0,-9.19313414725039,-99.34668421095544,-106.8948506104378,-169.02002631643316,r2c1_bottom_right,forward_slash,selected,,3,False,False,,,,
59,2021_Oct_29_1030,0 days 00:16:15.729907000,25,2,27.51033819999975,1397.759,line,1.3333,-204.5965670736252,280.0,-106.8948506104378,210.32665789452227,r0c1_bottom_left,back_slash,selected,,3,False,False,,,,
59,2021_Oct_29_1030,0 days 00:16:16.899095000,25,3,27.51033819999975,2566.947,line,1.6667,186.21029877912443,280.0,88.50858231593702,210.32665789452227,r0c2_bottom_right,forward_slash,selected,,3,False,False,,,,
59,2021_Oct_29_1030,0 days 00:16:19.001534000,25,4,27.51033819999975,4669.386,submit,,,,,,,,,0.6666666666666666,3,False,False,,,,
59,2021_Oct_29_1030,0 days 00:16:58.187327000,26,1,36.437234900000476,547.17,line,2.0,381.6137317054993,280.0,283.91201524231184,210.32665789452227,r0c3_bottom_right,forward_slash,selected,,12,False,False,,,,
59,2021_Oct_29_1030,0 days 00:16:59.421677000,26,2,36.437234900000476,1781.52,line,2.0,283.91201524231184,90.32665789452227,381.6137317054993,20.653315789044555,r1c3_bottom_left,back_slash,selected,,12,False,False,,,,
59,2021_Oct_29_1030,0 days 00:17:00.589705000,26,3,36.437234900000476,2949.548,line,2.0,-9.19313414725039,280.0,88.50858231593702,210.32665789452227,r0c2_bottom_left,back_slash,selected,,12,False,False,,,,
59,2021_Oct_29_1030,0 days 00:17:01.492816000,26,4,36.437234900000476,3852.659,submit,,,,,,,,,1.0,12,False,False,,,,
