"participant","date","overall_time","trial_count","click_order","prompt_rt_sec","selection_rt_ms","pressed_object","line_width","top_x","top_y","bottom_x","bottom_y","line_id","line_orientation","selected_or_released","accuracy","possible_thinnest_lines","is_practice"
90,"2021_Sep_22_1505","0 days 00:07:35.867848000",19,1,1.0217255000025,1014.827,"line",1.3333,-9.19313414725039,280,-106.894850610438,210.326657894522,"r0c1_bottom_right","forward_slash","selected",NA,5,"False"
90,"2021_Sep_22_1505","0 days 00:07:37.336543000",19,2,1.0217255000025,2483.522,"line",1.3333,-9.19313414725039,280,88.508582315937,210.326657894522,"r0c2_bottom_left","back_slash","selected",NA,5,"False"
90,"2021_Sep_22_1505","0 days 00:07:38.671902000",19,3,1.0217255000025,3818.881,"line",1.3333,88.508582315937,210.326657894522,88.508582315937,90.3266578945223,"r1c1_right","vertical","selected",NA,5,"False"
90,"2021_Sep_22_1505","0 days 00:07:39.991398000",19,4,1.0217255000025,5138.377,"submit",NA,NA,NA,NA,NA,"","","",1,5,"False"
90,"2021_Sep_22_1505","0 days 00:07:43.559457000",20,1,0.967513300012797,1950.012,"line",1.3333,-204.596567073625,280,-106.894850610438,210.326657894522,"r0c1_bottom_left","back_slash","selected",NA,5,"False"
90,"2021_Sep_22_1505","0 days 00:07:44.993104000",20,2,0.967513300012797,3383.659,"line",2,186.210298779124,280,88.508582315937,210.326657894522,"r0c2_bottom_right","forward_slash","selected",NA,5,"False"
90,"2021_Sep_22_1505","0 days 00:07:48.430271000",20,3,0.967513300012797,6820.826,"line",1.6667,88.508582315937,90.3266578945223,186.210298779124,20.6533157890446,"r1c2_bottom_left","back_slash","selected",NA,5,"False"
90,"2021_Sep_22_1505","0 days 00:07:51.216694000",20,4,0.967513300012797,9607.249,"line",1.3333,-204.596567073625,280,-106.894850610438,210.326657894522,"r0c1_bottom_left","back_slash","released",NA,5,"False"
90,"2021_Sep_22_1505","0 days 00:07:52.150858000",20,5,0.967513300012797,10541.413,"line",2,186.210298779124,280,88.508582315937,210.326657894522,"r0c2_bottom_right","forward_slash","released",NA,5,"False"
90,"2021_Sep_22_1505","0 days 00:07:53.953460000",20,6,0.967513300012797,12344.015,"line",1.3333,-204.596567073625,280,-106.894850610438,210.326657894522,"r0c1_bottom_left","back_slash","selected",NA,5,"False"
90,"2021_Sep_22_1505","0 days 00:07:55.519489000",20,7,0.967513300012797,13910.044,"line",1.6667,-204.596567073625,-99.3466842109554,-302.298283536813,-169.020026316433,"r2c0_bottom_right","forward_slash","selected",NA,5,"False"
90,"2021_Sep_22_1505","0 days 00:07:57.324896000",20,8,0.967513300012797,15715.451,"submit",NA,NA,NA,NA,NA,"","","",1,5,"False"
90,"2021_Sep_22_1505","0 days 00:08:03.995933000",21,1,4.64091950000147,1396.674,"line",1.3333,381.613731705499,280,283.912015242312,210.326657894522,"r0c3_bottom_right","forward_slash","selected",NA,4,"False"
90,"2021_Sep_22_1505","0 days 00:08:05.532011000",21,2,4.64091950000147,2932.752,"line",1.3333,186.210298779124,20.6533157890446,186.210298779124,-99.3466842109554,"r2c2_right","vertical","selected",NA,4,"False"
90,"2021_Sep_22_1505","0 days 00:08:08.067297000",21,3,4.64091950000147,5468.038,"line",1.3333,-204.596567073625,400,-204.596567073625,280,"r0c0_right","vertical","selected",NA,4,"False"
90,"2021_Sep_22_1505","0 days 00:08:11.287935000",21,4,4.64091950000147,8688.676,"line",1.3333,-204.596567073625,400,-204.596567073625,280,"r0c0_right","vertical","released",NA,4,"False"
90,"2021_Sep_22_1505","0 days 00:08:12.654622000",21,5,4.64091950000147,10055.363,"line",1.6667,-9.19313414725039,280,88.508582315937,210.326657894522,"r0c2_bottom_left","back_slash","selected",NA,4,"False"
90,"2021_Sep_22_1505","0 days 00:08:13.489866000",21,6,4.64091950000147,10890.607,"line",1.3333,186.210298779124,20.6533157890446,186.210298779124,-99.3466842109554,"r2c2_right","vertical","released",NA,4,"False"
90,"2021_Sep_22_1505","0 days 00:08:23.866821000",21,7,4.64091950000147,21267.562,"line",1.3333,186.210298779124,20.6533157890446,186.210298779124,-99.3466842109554,"r2c2_right","vertical","selected",NA,4,"False"
90,"2021_Sep_22_1505","0 days 00:08:25.135853000",21,8,4.64091950000147,22536.594,"submit",NA,NA,NA,NA,NA,"","","",0.666666666666667,4,"False"
90,"2021_Sep_22_1505","0 days 00:08:31.843296000",22,1,1.90071339998394,3754.073,"line",1.3333,283.912015242312,90.3266578945223,381.613731705499,20.6533157890446,"r1c3_bottom_left","back_slash","selected",NA,5,"False"
